source1_entity_id	candidate_entity_id	n_strategies_agreeing
S1-732914	S3-063118	2
S1-732914	S2-118820	1
S1-732914	S2-663049	1
S1-732914	S2-FR0002	1
S1-732914	S3-905477	1
S1-889301	S3-651230	3
S1-889301	S2-118820	1
S1-889301	S2-397155	1
S1-889301	S2-663049	1
S1-889301	S2-FR0002	1
S1-889301	S3-472088	1
S1-999999	S2-397155	2
S1-999999	S3-472088	2
S1-999999	S2-663049	1
S1-999999	S3-651230	1
S1-FR0001	S2-FR0002	5
S1-FR0001	S2-118820	1
S1-FR0001	S2-397155	1
S1-FR0001	S2-663049	1
S1-FR0001	S3-063118	1
S1-FR0001	S3-651230	1
S1-FR0001	S3-905477	1
